revenue,[[134384.22133301]]
price,0,2500.0
price,1,2537.8494
price,2,2577.0032
price,3,2616.3196
price,4,2655.1538
price,5,2694.414
price,6,2733.7273
price,7,2773.0513
price,8,2812.3804
price,9,2851.7139
price,10,2891.0486
price,11,2930.3848
price,12,2969.7217
price,13,3009.059
price,14,3048.3967
price,15,3087.7349
price,16,3127.073
price,17,3166.4114
price,18,3205.7498
price,19,3245.0881
price,20,3284.4268
price,21,3323.7654
price,22,3363.104
price,23,3402.4426
price,24,3441.7812
price,25,3481.1199
price,26,3520.4585
price,27,3559.797
price,28,3599.1357
price,29,3638.4744
price,30,3677.813
price,31,3717.1516
price,32,3756.4902
price,33,3795.8289
price,34,3835.1675
price,35,3874.506
price,36,3913.8447
price,37,3953.1836
price,38,3992.5225
price,39,4031.8613
price,40,4071.2002
price,41,4110.539
price,42,4149.878
price,43,4189.217
price,44,4228.5557
price,45,4267.8945
price,46,4307.2334
price,47,4346.5723
price,48,4385.911
price,49,4425.25
price,50,4464.589
price,51,4503.9277
price,52,4543.2666
price,53,4582.6055
price,54,4621.9443
price,55,4661.283
price,56,4700.622
price,57,4739.961
price,58,4779.3
price,59,4818.6387
price,60,4857.9775
price,61,4897.3164
price,62,4936.6553
price,63,4975.994
price,64,5015.333
price,65,5054.672
price,66,5094.0107
price,67,5133.3496
price,68,5172.6885
price,69,5212.0273
